Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Deltamethrin,52918-63-5,"Broad-spectrum pyrethroid insecticide, wood preservative","Butoflin™, Butox™, Decis™, K-Othrin™, K-Othrine™, Dust, Striker™ IEC insecticide,, 	Chemical Name (IUPAC): (1R,3R) [α-cyano(3-phenoxyphenyl)methyl]-3-(2,2-dibromo-ethenyl)-2,2-dimethylcyclopropanecarboxylate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,1.0 E-4,Oct-07,,,,,,
Demeclocycline Hydrochloride,64-73-3,Antibiotic used to treat various types of bacterial infections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1992,FR,,,,,,,,,,,,
Di(2-ethylhexyl)adipate,103-23-1,"Plasticizer in polyvinyl chloride plastics (often used for storing and protecting food), solvent in cosmetics; component of electric wire insulator, vinyl-coated fabrics, synthetic rubber, and hydraulic fluid",AI3-28579; BEHA; Bis(2-ethylhexyl) adipate; Bis(2-ethylhexyl) ester; Bisoflex DOA; DEHA; Di-2-ethylhexyl adipate; Diisooctyl adipate; Dioctyl adipate; DOA; Effomoll DOA; Ergoplast AdDo; Flexol A 26; Hexanedioic acid; Kodaflex DOA; Mollan S; Monoplex DOA; NCI-C54386; Octyl adipate; Plastomoll DOA; Reomol DOA; Staflex DOA; Truflex DOA,California Public Health Goals,,,1.2 E-3,,,,,,,,,,,,,,Developmental toxicity,n/a,0.4,n/a,,0.2,2003,,,,,,,,,,,,,,,,,,,,,,,
Di(2-ethylhexyl)phthalate,117-81-7,Plasticizer for many resins and elastomers; component of tobacco smoke,AI3-04273; BEHP; Bis(2-ehtylhexyl) phthalate; Di(2-ethylhexyl)phthalate; Diethylhexyl phthalate; DEHP; Ethylhexyl phthalate; NCI-C52733; Octyl phthalate; Vinicizer 80; EPA Pesticide Chemical Code: 295200,,2.4 E-6,8.4 E-3,3.0 E-3,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.004,0.0000003,,0.012,1997,,,,"410 µg/day (adult); 58 µg/day (infant boys, age 29 days to 24 months); 20 µg/day (neonatal infant boys, age 0 to 28 days)",2006,Currently listed,SQE,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",10/24/2003,AB-NIOSH/FDA,,,10/24/2003,AB-NIOSH/FDA,,,,,,,,
Di-isodecyl Phthalate (DIDP),68515-49-1; 26761-40-0,"Plasticizer in PVC, production of rubber, anti-corrosion paints, anti-fouling paints, sealing compounds, textile inks","Bis(isodecyl) phthalate; 1,2-Benzenedicarboxylic acid; di-C9-11 branched alkyl esters; C9 rich and di-",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,Currently listed,Developmental Toxicity,4/20/2007,AB-NTP-CERHR,,,,,,,,,,,,
Di-n-butyl Phthalate,84-74-2,"Plasticizer in carpet backings, paints, adhesives, hair spray, and nail polish; ectoparasiticide","DBP; AI3-00283; Di-n-butyl phthalate; Butyl phthalate; n-Butyl phthalate; 1,2-Benzenedicarboxylic acid dibutyl ester; o-Benzenedicarboxylic acid dibutyl ester; DBP; Palatinol C; Elaol; Caswell No. 292; Palatinol C; Phthalsaeure dibutylester; EPA Pesticide Code: 028001",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",12/2/2005,AB-NTP-CERHR,12/2/2005,AB-NTP-CERHR,12/2/2005,AB-NTP-CERHR,,,,,,,,
Di-n-hexyl Phthalate (DnHP),84-75-3,Production of plastisols,,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,2200 µg/day,2008,,,Currently listed,"Male Reproductive Toxicity, Female Reproductive Toxicity",,,12/2/2005,AB-NTP-CERHR,12/2/2005,AB-NTP-CERHR,,,,,,,,
Di-n-propyl Isocinchomeronate,136-45-8,Pesticide. Registration voluntarily cancelled for all livestock uses in the US in 1994.,"MGK Repellent 326; 2,5-PCADPE; 2,5-Pyridinedicarboxylic acid di-N-propyl ester; Diisopropyl 2,5-pyridindicarboxylate; Isocinchomeronic acid di-N-propyl ester; MGK 326; Isocinchomeronyldipropylester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
"N,N'-Diacetylbenzidine",613-35-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"2,4-Diaminoanisole",615-05-4,"Chemical intermediate in production of hair and fur dyes (C.I. Basic Brown 2); corrosion inhibitor for steel. Previously used in permanent, oxidative hair dyes until the late 1970s.","1,3-Diamino-4-methoxybenzene; 4-Methoxy-1,3-benzene-diamine; 4-Methoxy-m-phenylene-diamine",Proposition 65 NSRLs/MADLs,6.6 E-6,2.3 E-2,2.3 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,FR,,,,,,,,,,,,,,,,
"2,4-Diaminoanisole Sulfate",39156-41-7,Chemical intermediate in production of dye (C.I. basic brown 2). Voluntarily removed from use as component of oxidizing hair and fur dye formulations in the US by 1980.,"2,4-Diamino-anisol sulphate trihydrate; Diaminoanisolesulfatetrihydrate, 2,4-",Proposition 65 NSRLs/MADLs,3.7 E-6,1.3 E-2,1.3 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
"4,4-Diaminodiphenyl Ether",101-80-4,"Production of polymer resins, epoxy resins, and epoxy adhesives","Aniline, 4,4'-oxydi-; p-Aminophenyl ether; p,p'-Diaminodiphenyl ether; p,p'-Oxydianiline; Bis(p-aminophenyl) ether; Bis(4-aminophenyl) ether; Diaminodiphenyl ether; Oxybis[4-aminobenzene]; Oxydi-p-phenylenediamine; 4-Aminophenyl ether; 4,4'-Diaminodiphenyl ether; 4,4'-Diaminodiphenyl oxide; 4,4'-Diaminophenyl ether; 4,4'-Oxybis[aniline]; 4,4'-Oxydianiline; di(4-Aminophenyl) ether; p,p'-Oxybis(aniline); Dadpe; Ether; 4,4'-diaminodiphenyl-; NCI-C50146;Oxydianiline; 4-aminophenyl ether; 4,4'-oxybisbenzenamine; 4,4'-ODA; 4,4'-oxydianiline",,4.0 E-5,1.4 E-1,1.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
"2,4-Diaminotoluene",95-80-7,"Chemical intermediate in the production of toluene diisocyanate; production of dyes; photographic developer; preparation of impact resins, antioxidants, hydraulic fluids, urethane foams, and fungicide stabilizers. Use in hair dye formulations ceased in the US in 1971.","2,4-Toluenediamine",Proposition 65 NSRLs/MADLs,1.1 E-3,4.0 E+0,4.0 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Diaminotoluene (Mixed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,AB-US EPA,,,,,,,,,,,,,,,,
o-Dianisidine,119-90-4,"Chemical intermediate in production of azo dyes for leather, paper, plastic, rubber, and textiles","3,3'-dimethoxybenzidine; Acetamine diazo black RD; AI3-00864; Amacel developed navy SD; Azoene fast blue base; Brentamine fast blue b base; Cellitazol B; CI Disperse black 6; Cibacete diazo navy blue 2B; Diacel navy DC; Di-p-aminodil-m-methoxydiphenyl; 4,4'-diamino-3,3'dimethoxydiphenyl; Dianisidine; Diato blue base B; Diazo fast blue; 3,3'-dimethoxybiphenyl-4,4'-diamine; 3,3'-dimethoxy-4,4'-diaminobiphenyl; Fast blue B base; Hiltonil fast blue B Base; Kayuku Blue b base; Lake blue B base; Meisei teryl diazo blue HR; Mitsui blue B base; Napthanil blue B base; Neutrosel navy BN; Setacyl diazo navy R; Spectrolene blue B",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,SQE,,,,,,,,,,,,,,,,
Diazepam,439-14-5,"Medicine (benzodiazepine to treat anxiety, seizures, alcohol and opiate withdrawal, and Meniere's disease)","Diastat; Valium; 7-chloro-1,3-dihydro-1-methyl-5-phenyl-1,4-benzodiazepin-2(3H)-one; 7-Chloro-1,3-dihydro-1-methyl-5-phenyl-2h-1,4-benzodiazepin-2-one; 1-Methyl-5-phenyl-7-chloro-1,3-dihydro-2H-1,4-benzodiazepin-2-one; 7-Chloro-1-methyl-2-oxo-5-phenyl-3H-1,4-benzodiazepine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1992,FR,,,,,,,,,,,,
Diazoaminobenzene,136-35-6,"Chemical intermediate, complexing agent, polymer additive; contaminant in certain coloring additives","DAAB; 1,3-Diphenyltriazene; Anilinoazobenzene; Aniline, N-(phenylazo)-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Diazoxide,364-98-7,"Medicine (treatment for hypertension, excess insulin)","7-Chloro-3-methyl-4H-1,2,4-benzothiadiazine 1,1-dioxide; 2h-1,2,4-Benzothiadiazine,7-chloro-3-methyl-,1,1-dioxide; Dizoxide; Eudemine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,2/27/2001,FR,,,,,,,,,,,,
Dibenzanthracenes,,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).",DBAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenzo[a,e]pyrene",192-65-4,Research chemical (induces cancer); component of tobacco smoke,"DB(A,E)P",,1.1 E-3,3.9 E+0,1.2 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenzo[a,h]pyrene",189-64-0,Research chemical (induces cancer); component of tobacco smoke,"DB(A,H)P; Dibenzo(B,DEF)Chrysene",Proposition 65 NSRLs/MADLs,1.1 E-2,3.9 E+1,1.2 E+2,,,,,,,,,,,,,,,,,,,,,,0.0054 µg/day,,,2004,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenzo[a,i]pyrene",189-55-9,Research chemical (induces cancer); component of tobacco smoke,"Benzo(rest)pentaphene); DB(a,i)P; Dibenz(a)pyrene",Proposition 65 NSRLs/MADLs,1.1 E-2,3.9 E+1,1.2 E+2,,,,,,,,,,,,,,,,,,,,,,0.005 µg/day,,,2004,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenzo[a,l]pyrene",191-30-0,Research chemical (induces cancer); component of tobacco smoke,"BA 51-090462; DB(A,1)P; 1,2,3,4-Dibenzpyrene; 4,5,6,7-Dibenzpyrene",,1.1 E-2,3.9 E+1,1.2 E+2,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"7H-dibenzo[c,g]carbazole",194-59-2,Component of tobacco smoke,"3,4,5,6-Dibenzcarbazol; 7H-DB(C,G)C",,1.1 E-3,3.9 E+0,1.2 E+1,,,,,,,,,,,,,,,,,,,,,,0.003 µg/day,,,2003,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenz[a,c]anthracene",215-58-7,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).","DB[a,c]A; 1,2:3,4-dibenzanthracene; benzo[b]triphenylene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenz[a,h]acridine",226-36-8,"Research chemical; found in petroleum refinery emissions, coal combustion emissions, tobacco smoke, and coal tar pitch","DB(A,H)AC; Dibenz(A,D)acridine",,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenz[a,h]anthracene",53-70-3,Research chemical; product of incomplete combustion; component of tobacco smoke,"AI3-18996; DB(A,H)A; DBA; Dibenzanthracene; 1,2,5,6-DBA",Proposition 65 NSRLs/MADLs,1.2 E-3,4.1 E+0,4.1 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenz[a,j]acridine",224-42-0,"Research chemical (induces cancer); product of incomplete combustion. Found in automobile exhaust, coal-burning effluent, incinerator effluent, tobacco smoke","DB(A,J)AC; 1,2:6,7-dibenzacrinide",,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"Dibenz[a,j]anthracene",224-41-9,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).","DB[a,j]A; 1,2:7,8-dibenzanthracene; 3,4,5,6-dibenzanthracene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"2,3-Dibromo-1-propanol",96-13-9,Production of fire-retardant urethane foams,"1-Propanol, 2,3-dibromo-; 1,2-Dibromopropan-3-ol; 2,3-Dibromopropyl alcohol; 2,3-Dibromopropanol; 1,2-Dibromohydrin; beta-Dibromohydrin; DBP (flame retardant); 2,3-dibromopropan-1-ol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
"1,2-Dibromo-3-chloropropane",96-12-8,"Pesticide, nematicide, soil fumigant; chemical intermediate. No longer produced or used agriculturally in US since 1985.",DBCP,,1.9 E-3,7.0 E+0,7.0 E+0,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.0002,0.0001,,0.0000017,1999,,,4.3 µg/day,3.1 µg/day,2004,Currently listed,FR,Currently listed,Male Reproductive Toxicity,,,,,2/27/1987,FR,,,,,,,,
Dibromoacetic Acid,631-64-1,Research chemical; water disinfection byproduct,"Dibromoacetate; 2,2-Dibromoethanoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Dibromoacetonitrile,3252-43-5,Antimicrobial component in metalworking fluid; water disinfection byproduct,"Dibrommethylcyanide; Acetonitrile, 2,2-dibromo; Dibromocyanomethane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Dibromochloromethane,124-48-1,"Laboratory reagent, chemical intermediate; formerly used as flame retardant. Byproduct of chlorination of bromide-containing water for drinking.",DBCM; Chlorobromoform; Chlorodibromomethane; Monochlorodibromomethane; NCI-C55254,,,,,,,,,,,,,,,,,,"Hepatotoxicity (liver), nephrotoxicity (kidney), and neurotoxicity",,,,,,,,,,,,Formerly listed,,,,,,,,,,,,,,,,,
"1,2-Dibromoethane",106-93-4,"Pesticide for felled logs and beehives; chemical intermediate for dyes, resins, waxes, and gums. Former pesticide and ingredient of soil and grain fumigant formulations until these uses were banned in the US in 1984. Use as a lead scavenger in antiknock gasoline mixtures ended with the phase-out of leaded gasoline in the US by 1996. Trace amounts occur naturally in the ocean.",EDB; Ethylene dibromide; Ethylene bromide,,7.1 E-5,2.5 E-1,2.5 E-1,,,,,,,,,,0.8,,Reproductive (decreased sperm count),Yes,Carcinogenicity,0.000001,0.00005,0.000005,,0.00001,2003,3 µg/day,0.2 µg/day,,,,Currently listed,FR,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",5/15/1998,"AB-NIOSH, AB-US EPA",,,5/15/1998,"AB-NIOSH, AB-US EPA",,,,,,,,
Dicamba,1918-00-9,Herbicide; plant growth regulator,"3,6-Dichloro-2-methoxybenzoic acid; Dianat; 3,6-Dichloro-o-anisic acid; Mediben",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
"2,4-Dichloro-1-Nitrobenzene",611-06-3,Used as a chemical intermediate for the synthesis of chlormethoxyfen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"1,4-Dichloro-2-butene",764-41-0,Chemical synthesis,"1,4-Dichloro-2-butylene; Dichlorobutene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
"1,4-Dichloro-2-Nitrobenzene",89-61-2,"Used extensively in the manufacture of dyestuff intermediates and as an intermediate for pigments, pesticides and UV absorbents in closed systems.","2,5-Dichloronitrobenzene, Nitro-p-dichlorobenzene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"1,3-Dichloro-2-propanol",96-23-1,Chemical intermediate in epichlorohydrin production; chemical synthesis,"1,3-DCP; (glycerol) alpha,gamma-dichlorohydrin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"3,3'-Dichloro-4,4'-diamino-diphenyl Ether",28434-86-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Dichloroacetic Acid,79-43-6,Chemical intermediate in organic synthesis; analytical reagent; medicine (medicinal disinfectant; cauterization),DCA; DCA acid; Dichloracetic acid; Dichlorethanoic acid; Dichloroethanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",8/7/2009,AB-US EPA,,,8/7/2009,AB-US EPA,,,,,,,,
"1,2-Dichlorobenzene",95-50-1,"Solvent, degreasing agent, insecticide, deodorizing agent; intermediate in production of chemicals, herbicides, and dyes; a byproduct of chlorobenzene production","1,2-DCB; o-DCB; orthodichlorobenzene; o-Dichlorobenzene",California Public Health Goals,,,,,,,,,,,,,,,,,Hepatotoxicity (liver),n/a,0.6,n/a,,0.6,2009,,,,,,,,,,,,,,,,,,,,,,,
"1,4-Dichlorobenzene",106-46-7,"Insecticide, germicide, space and garbage deodorizer; chemical intermediate in organic chemicals, dyes, and pharmaceuticals","p-DCB; 1,4-Dichlorobenzene; paracide; dichloricide; DCB; Dichlorocide; pdcb; pdb; Para-zene; Paramoth; p-chlorophenyl chloride; p-dichlorobenzol, p-dichlorobenzene",,1.1 E-5,4.0 E-2,5.4 E-3,,,,,,,,,,800,,"Nervous system, respiratory system, alimentary system (liver), kidney",No,Carcinogenicity,0.000001,0.005,0.0000008,,0.006,1997,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"3,3-Dichlorobenzidine",91-94-1,Curing agent for solid urethane plastics. Formerly used in the US as chemical intermediate for dyes.,CI 23060,,3.4 E-4,1.2 E+0,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"3,3'-Dichlorobenzidine Dihydrochloride",612-83-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Dichlorodiphenyldichloroethane (DDD),72-54-8,"Dusts, emulsions, and wettable powders for contact control of leaf rollers and other insects; degradation product of DDT","DDD; Dichlorodiphenyl Dichloroethane; p,p'-dichlorodiphenyldichloroethane; Dilene; NCI-C00475; Caswell No. 307; 1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane; p,p'-DDD; Rhothane; Rothane; Tetrachlorodiphenylethane; TDE; EPA Pesticide Code: 029101",,6.9 E-5,2.4 E-1,2.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Dichlorodiphenyldichloroethylene (DDE),72-55-9,Degradation product of DDT,"DDE; DDT Dehydrochloride; 1,1-dichloro-2,2-bis(p-chlorophenyl)ethylene; p,p'-DDE; p,p'-dichlorodiphenyldichloroethylene; NCI-C00555",Proposition 65 NSRLs/MADLs,9.7 E-5,3.4 E-1,3.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",3/30/2010,AB-US EPA,,,3/30/2010,AB-US EPA,,,,,,,,
Dichlorodiphenyltrichloroethane (DDT),50-29-3,Insecticide. Banned for agricultural use in the US in 1972; Stockholm Convention (not ratified by the US) restricted use to public health vector control in 2004.,"Azotox; Chlofenotan; Chlorophenothane; Chlorphenotoxum; Citox; Clofenotane; DDT; Dedelo; Deoval; Detox; Dibovin; Dicophane; Dodat; Dykol; Estonate; Genitox; Gesafid; Gesarex; Gesarol; Gyron; Hildit; Ivoran; Ixodex; Kopsol; Mutoxan; NCI-C00464; Neocid; Caswell No. 308; Parachlorocidum; Pentachlorin; Pentacidium; Rukseam; Tafidex; Zeidane; Zerdane; 1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethane; EPA Pesticide Code: 029201",,9.7 E-5,3.4 E-1,3.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",5/15/1998,"AB-NIOSH, AB-US EPA",5/15/1998,"AB-NIOSH, AB-US EPA",5/15/1998,"AB-NIOSH, AB-US EPA",,,,,,,,
"1,1-Dichloroethane",75-34-3,Intermediate in chemical synthesis; solvent. Formerly used as a surgical anesthetic.,"1,1-DCA; Ethylidene chloride; Ethylidene dichloride; 1,1-Dichloroethane; CH3CHCl2; Dichloromethylmethane; 1,1-Dichlorethane; NCI-C04535; Rcra waste number U076; UN 2362; Asymmetrical Dichloroethane; Dutch Oil",California Public Health Goals,1.6 E-6,5.7 E-3,5.7 E-3,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.005,0.000002,,0.003,2003,,,,,1992,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
"1,2-Dichloroethane",107-06-2,"Insect fumigant for grains and orchards, solvent for resins and fats, gasoline additive to remove lead; chemical intermediate in organic synthesis (vinyl chloride); precursor to dry cleaning agent","1,2-DCA; Ethylene dichloride; Ethylene chloride; glycol dichloride; Freon 150; Dutch liquid; Dutch oil; edc; 1,2-Ethylidene dichloride; sym-dichloroethane; Brocide; Ethane dichloride; 1,2-Ethylene dichloride; alpha, beta-dichloroethane; borer sol; destruxol borer-sol; dichloremulsion; di-chlor-mulsion; 2-Dichloroethane",,2.1 E-5,7.2 E-2,4.7 E-2,,,,,,,,,,400,,Alimentary system (liver),No,Carcinogenicity,0.000001,0.0005,0.000001,,0.0004,2005,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"1,1-Dichloroethylene",75-35-4,"Comonomer in the polymerization of vinyl chloride, acrylonitrile, and acrylates; production of adhesives, fibers, refrigerants, food packaging and coating resins","1,1-DCE; Ethylene, 1,1-dichloro-; Sconatex; Vinylidene chloride; 1,1-Dichloroethene; 1,1-Dichloroethylene; CH2=CCl2; Chlorure de vinylidene; 1,1-DCE; NCI-C54262; Rcra waste number U078; VDC; Vinylidine chloride; Vinylidene dichloride; 1,1-dichloroethylene (vinylidine chloride)",Chronic Reference Exposure Levels,,,,,,,,,,,,,70,,Alimentary system (liver),No,Heptatoxicity (liver),n/a,0.006,n/a,,0.01,1999,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"1,2-Dichloroethylene, cis",156-59-2,"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant","Ethylene, 1,2-dichloro-, (Z)-; (Z)-1,2-Dichloroethylene; cis-Di-1,2-Chloroethylene; cis-Dichloroethylene;cis-1,2-Dichloroethene; cis-1,2-Dichloroethylene; 1,2-cis-Dichloroethylene; (Z)-1,2-Dichloroethene; 1,2-cis-Dichloroethene; Acetylene dichloride, cis-;Dichloroethylene, cis-; 1,cis-2-Dichloroethene; Ethylene, 1,2-dichloro-, cis-",California Public Health Goals,,,,,,,,,,,,,,,,,Nephrotoxicity,n/a,0.006,n/a,,0.013,2018,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Dichloroethylene, trans",156-60-5,"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant","Ethylene, 1,2-dichloro-, (E)-; (E)-1,2-Dichloroethylene;trans-Di-1,2-Chloroethylene; trans-1,2-Dichloroethene; trans-1,2-Dichloroethylene; (E)-CHCl=CHCl; 1,2-trans-Dichloroethene;(E)-1,2-Dichloroethene; 1,2-trans-Dichloroethylene; trans-Acetylene dichloride; trans-Dichloroethylene;Acetylene dichloride, trans-; Dichloroethylene, trans-; 1,trans-2-Dichloroethene",California Public Health Goals,,,,,,,,,,,,,,,,,Immune System Toxicity,n/a,0.01,n/a,,0.05,2018,,,,,,,,,,,,,,,,,,,,,,,
Dichlorophene,97-23-4,Medicine (treatment for tapeworm),"2,2'-Dihydroxy-5,5'-dichlorodiphenylmethane; 2,2'-Methylenebis(4-chlorophenol); 4-Chloro-2-(5-chloro-2-hydroxyphenzyl)phenol; 5,5'-Dichloro-2,2'-dihydroxydiphenylmethane; Bis(5-chloro-2-hydroxyphenyl)methane; Dichlorophen; Bis(chlorohydroxyphenyl)methane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/27/1999,AB-US EPA,,,,,,,,,,,,
